,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,doc_url,trending,updated_github_id,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page,docs_url,update_at,gitlab_id,gitlab_url
28,Gymnasium Robotics,Farama-Foundation/Gymnasium-Robotics,,ml,https://robotics.farama.org/,https://github.com/Farama-Foundation/Gymnasium-Robotics,MIT,2021-10-25 18:10:57,2026-04-20 14:51:19,2026-04-20 14:49:53,470.0,8.0,130.0,15.0,221.0,17.0,67.0,898.0,2026-01-02 21:49:36,1.4.2,,40152.0,15.0,A collection of robotics simulation environments for reinforcement learning.,331.0,331.0,37.0,25,True,2.0,gymnasium-robotics,https://pypi.org/project/gymnasium-robotics,40152.0,,,,,,,,,,,,
29,Vulkan,KhronosGroup/Vulkan-Hpp,[],render,https://www.khronos.org/,https://github.com/KhronosGroup/Vulkan-Hpp,Apache-2.0,2016-06-16 12:51:55,2026-05-06 11:39:46,2026-05-06 11:39:46,2459.0,65.0,351.0,111.0,1839.0,18.0,700.0,3693.0,2026-05-04 11:18:05,1.4.350,,,100.0,Open-Source Vulkan C++ API.,,,102.0,24,True,3.0,,,,,,,,,,,,,,,
30,OpenGL,KhronosGroup/Vulkan-Hpp,[],render,https://www.khronos.org/,https://github.com/KhronosGroup/Vulkan-Hpp,Apache-2.0,2016-06-16 12:51:55,2026-05-06 11:39:46,2026-05-06 11:39:46,2459.0,65.0,351.0,111.0,1839.0,18.0,700.0,3693.0,2026-05-04 11:18:05,1.4.350,,,100.0,Open-Source Vulkan C++ API.,,,102.0,24,True,3.0,,,,,,,,,,,,,,,
31,AI2-thor,allenai/ai2thor,,ml,https://ai2thor.allenai.org/,https://github.com/allenai/ai2thor,Apache-2.0,2017-10-17 18:00:39,2025-11-04 06:09:29,2025-05-29 18:14:02,7768.0,,279.0,64.0,598.0,274.0,375.0,1715.0,2022-12-13 23:25:15,5.0.0,,,48.0,An open-source platform for Visual AI.,394.0,394.0,53.0,24,True,2.0,,,,,,,,,,,,,,,
32,IR-SIM,hanruihua/ir-sim,,flatsim,https://ir-sim.readthedocs.io/en,https://github.com/hanruihua/ir-sim,MIT,2022-05-30 03:51:40,2026-05-05 01:10:43,2026-04-30 05:40:31,1566.0,81.0,135.0,10.0,238.0,4.0,43.0,1072.0,2026-04-21 10:31:29,2.9.4,,6561.0,52.0,"A Python-based lightweight robot simulator designed for navigation, control, and learning.",16.0,16.0,14.0,24,True,1.0,ir-sim,https://pypi.org/project/ir-sim,6561.0,,,,,,,,,,,,
33,Metaworld,Farama-Foundation/Metaworld,,ml,https://metaworld.farama.org/,https://github.com/Farama-Foundation/Metaworld,MIT,2019-09-09 19:00:02,2026-01-20 16:15:11,2026-01-20 16:14:09,962.0,,315.0,28.0,324.0,3.0,242.0,1809.0,2025-06-14 01:43:48,3.0.0,,26363.0,2.0,Collections of robotics environments geared towards benchmarking multi-task and meta reinforcement learning.,,,41.0,23,True,2.0,metaworld,https://pypi.org/project/metaworld,26363.0,,,,,,,,,,,,
34,Gazebo,gazebosim/gz-sim,,robotics,https://gazebosim.org/home,https://github.com/gazebosim/gz-sim,Apache-2.0,2020-04-15 09:17:50,2026-05-06 08:06:24,2026-05-06 03:35:50,7495.0,50.0,398.0,21.0,2425.0,472.0,615.0,1320.0,2025-10-14 04:14:45,gz-sim10_10.0.0,,,7.0,Open source robotics simulator. The latest version of Gazebo.,,,178.0,23,True,2.0,,,,https://gazebosim.org/api/sim/9/,1.0,,,,,,,,,,
35,MuJoCo Wrap,google-deepmind/mujoco_warp,[],physics,https://github.com/google-deepmind/mujoco_warp,https://github.com/google-deepmind/mujoco_warp,Apache-2.0,2025-03-17 22:35:01,2026-05-06 00:04:55,2026-05-06 00:04:55,1883.0,169.0,154.0,37.0,1035.0,31.0,255.0,1214.0,2026-04-29 00:05:06,3.8.0.1,,,9.0,"GPU-optimized version of the MuJoCo physics simulator, designed for NVIDIA hardware.",,,40.0,23,True,2.0,,,,,1.0,,,,,,,,,,
36,DART,dartsim/dart,[],physics,http://dartsim.github.io/,https://github.com/dartsim/dart,BSD-2-Clause,2011-09-19 21:53:51,2026-05-06 07:35:13,2026-05-06 07:22:06,6651.0,31.0,291.0,53.0,1794.0,,687.0,1077.0,2026-02-10 17:37:40,6.16.7,,,69.0,"C++20 physics engine for robotics and animation with collision, constraints, and Python bindings.",9.0,9.0,76.0,23,True,2.0,,,,,,,,,,,,,,,
37,Basilisk,AVSLab/basilisk,,space,https://github.com/AVSLab/basilisk,https://github.com/AVSLab/basilisk,ISC,2022-12-13 01:59:21,2026-05-06 08:08:47,2026-05-04 15:09:25,12967.0,436.0,109.0,10.0,622.0,87.0,400.0,326.0,2026-04-26 20:35:50,2.10.1,,,14.0,Astrodynamics simulation framework.,,,120.0,23,True,1.0,,,,,,,,,,,,,,,
38,jaxsim,ami-iit/jaxsim,,ml,https://jaxsim.readthedocs.io,https://github.com/gbionics/jaxsim,BSD-3-Clause,2022-01-31 16:44:28,2026-05-05 12:55:49,2026-05-05 12:55:47,2347.0,54.0,22.0,17.0,437.0,7.0,72.0,194.0,2026-04-29 09:59:21,0.9.0,,3090.0,14.0,A differentiable physics engine and multibody dynamics library for control and robot learning.,4.0,4.0,16.0,23,True,2.0,jaxsim,https://pypi.org/project/jaxsim,2468.0,,,gbionics/jaxsim,conda-forge/jaxsim,https://anaconda.org/conda-forge/jaxsim,2026-04-29 13:23:30.608,16817.0,,,,,
39,ManiSkill,haosulab/ManiSkill,,ml,https://maniskill.ai/,https://github.com/haosulab/ManiSkill,Apache-2.0,2022-08-02 04:56:58,2026-04-21 05:51:06,2026-04-21 05:50:17,621.0,10.0,454.0,19.0,588.0,104.0,680.0,2855.0,2026-04-21 05:51:06,3.0.1,,,37.0,"SAPIEN Manipulation Skill Framework, an open source GPU parallelized robotics simulator and benchmark.",,,67.0,21,True,2.0,,,,,,,,,,,,,,,
40,SVL Simulator,lgsvl/simulator,,auto,https://github.com/lgsvl/simulator,https://github.com/lgsvl/simulator,,2018-07-02 22:07:26,2023-04-04 21:17:55,2022-01-19 23:09:19,2067.0,,770.0,84.0,41.0,614.0,1490.0,2443.0,2021-10-04 19:40:16,2021.3,98281.0,1104.0,32.0,A ROS/ROS2 Multi-robot Simulator for Autonomous Vehicles.,,,46.0,21,False,3.0,,,,,,,,,,,,,,,
41,Gazebo Classic,gazebosim/gazebo-classic,,robotics,https://classic.gazebosim.org/,https://github.com/gazebosim/gazebo-classic,Apache-2,2020-04-19 04:26:21,2024-12-03 13:17:30,2024-12-03 13:13:52,32589.0,,508.0,31.0,337.0,1466.0,1588.0,1338.0,,,,,,"Gazebo classic. For the latest version, see https://github.com/gazebosim/gz-sim.",,,202.0,21,False,2.0,,,,,,,,,,,,,,,
42,IGibson,StanfordVL/iGibson,,ml,https://svl.stanford.edu/igibson/,https://github.com/StanfordVL/iGibson,MIT,2019-05-21 21:45:23,2024-06-26 19:22:02,2023-02-19 08:26:34,4079.0,,162.0,42.0,36.0,127.0,214.0,803.0,2023-02-19 08:29:49,2.2.2,332.0,4.0,16.0,A Simulation Environment to train Robots in Large Realistic Interactive Scenes.,14.0,14.0,34.0,21,True,2.0,,,,,,,,,,,,,,,
43,AWSim,tier4/AWSIM,,auto,https://github.com/tier4/AWSIM,https://github.com/tier4/AWSIM,apache-2,2022-10-14 00:48:24,2026-05-01 05:36:59,2026-05-01 05:36:21,1449.0,4.0,114.0,63.0,340.0,20.0,105.0,702.0,2025-10-31 07:06:14,2.0.1,80682.0,1876.0,12.0,Open sourced digital twin simulator for Autoware.,,,34.0,21,True,3.0,,,,,,,,,,,,,,,
44,Colosseum,CodexLabsLLC/Colosseum,,aerial,https://codexlabsllc.github.io/Colosseum/,https://github.com/CodexLabsLLC/Colosseum,MIT,2022-07-23 10:32:41,2025-12-08 14:09:28,2025-12-08 14:09:27,3717.0,,181.0,24.0,47.0,61.0,26.0,643.0,2025-08-08 18:22:02,2.3.0,19448.0,463.0,6.0,Open source simulator for autonomous robotics built on Unreal Engine with support for Unity.,,,256.0,21,True,1.0,,,,,,,,,,,,,,,
45,Simbody,simbody/simbody,[],physics,https://simtk.org/home/simbody,https://github.com/simbody/simbody,Apache-2.0,2013-08-16 00:21:53,2026-03-19 16:10:54,2026-03-19 16:10:54,5041.0,4.0,477.0,141.0,507.0,139.0,204.0,2518.0,2025-05-17 23:22:29,Simbody-3.8,,,11.0,High-performance C++ multibody dynamics/physics library for simulating articulated biomechanical and mechanical..,,,62.0,20,True,3.0,,,,,,,,,,,,,,,
46,MuJoCo playground,google-deepmind/mujoco_playground/,,ml,https://playground.mujoco.org/,https://github.com/google-deepmind/mujoco_playground,Apache-2.0,2024-12-03 22:39:09,2026-05-06 07:08:55,2026-04-06 16:35:33,208.0,43.0,296.0,20.0,96.0,61.0,108.0,1920.0,2026-03-16 18:52:37,0.2.0,,,6.0,An open-source library for GPU-accelerated robot learning and sim-to-real transfer.,,,,20,True,2.0,,,,,,,,,,,,,,,
47,Sapien,haosulab/SAPIEN,,ml,https://sapien.ucsd.edu/,https://github.com/haosulab/SAPIEN,,2020-03-16 01:11:40,2026-03-10 08:37:06,2026-03-10 01:38:02,1703.0,1.0,74.0,16.0,33.0,76.0,150.0,761.0,2026-03-10 03:28:32,3.0.3,882.0,36.0,2.0,SAPIEN Embodied AI Platform.,235.0,235.0,19.0,20,True,2.0,,,,,,,,,,,,,,,
48,pyrobosim,sea-bass/pyrobosim,[],flatsim,https://pyrobosim.readthedocs.io/,https://github.com/sea-bass/pyrobosim,MIT,2022-01-17 13:04:18,2026-05-04 17:54:25,2026-05-04 17:54:23,552.0,6.0,69.0,15.0,306.0,6.0,120.0,379.0,2026-02-28 16:16:06,4.3.4,,1531.0,17.0,ROS 2 enabled 2D mobile robot simulator for behavior prototyping.,7.0,7.0,20.0,20,True,2.0,pyrobosim,https://pypi.org/project/pyrobosim,1531.0,,,,,,,,,,,,
49,Self Driving Car,udacity/self-driving-car-sim,,auto,https://github.com/udacity/self-driving-car-sim,https://github.com/udacity/self-driving-car-sim,mit,2017-02-08 03:31:26,2022-02-24 12:49:52,2022-02-24 12:49:52,26.0,,1459.0,219.0,16.0,53.0,70.0,3977.0,2017-07-11 20:07:27,T3_v1.2,72470.0,671.0,11.0,A self-driving car simulator built with Unity.,,,8.0,19,False,3.0,,,,,,,,,,,,,,,
50,Gym Pybullet Drones,utiasDSL/gym-pybullet-drones,[],aerial,https://utiasdsl.github.io/gym-pybullet-drones/,https://github.com/learnsyslab/gym-pybullet-drones,MIT,2020-08-10 07:38:09,2026-05-05 18:57:49,2026-05-05 18:57:48,847.0,12.0,506.0,16.0,71.0,110.0,114.0,1997.0,2021-03-09 21:11:22,1.0.0,,,5.0,PyBullet Gymnasium environments for single and multi-agent reinforcement learning of quadcopter control.,,,22.0,19,True,1.0,,,,,,learnsyslab/gym-pybullet-drones,,,,,,,,,
51,LocoMuJoCo,robfiras/loco-mujoco,,ml,https://loco-mujoco.readthedocs.io/,https://github.com/robfiras/loco-mujoco,MIT,2023-06-22 17:23:08,2026-05-02 20:04:37,2026-03-10 19:45:45,723.0,25.0,145.0,15.0,22.0,33.0,38.0,1391.0,2026-03-10 19:58:26,1.1.0,,,7.0,Imitation learning benchmark focusing on complex locomotion tasks using MuJoCo.,8.0,8.0,14.0,19,True,3.0,,,,,,,,,,,,,,,
52,Astrobee,NASA/astrobee,,space,https://github.com/nasa/astrobee,https://github.com/nasa/astrobee,Apache-2.0,2017-08-29 23:16:13,2025-12-02 17:42:45,2025-12-02 17:42:45,553.0,,353.0,62.0,621.0,15.0,194.0,1320.0,2024-07-19 22:29:17,0.19.1,,,23.0,NASA Astrobee Robot Software.,,,22.0,19,True,2.0,,,,,,,,,,,,,,,
53,MetaDrive,metadriverse/metadrive/,,ml,https://metadriverse.github.io/metadrive-simulator/,https://github.com/metadriverse/metadrive,Apache-2.0,2021-08-28 08:42:42,2025-08-15 18:57:56,2025-05-12 06:21:55,822.0,,173.0,18.0,444.0,99.0,314.0,1159.0,2024-12-06 17:31:09,MetaDrive-0.4.3,86928.0,1552.0,12.0,MetaDrive: Lightweight driving simulator for everyone.,,,,19,True,3.0,,,,,,,,,,,,,,,
54,Cosys-AirSim,Cosys-Lab/Cosys-AirSim,,aerial,https://cosys-lab.github.io/Cosys-AirSim/,https://github.com/Cosys-Lab/Cosys-AirSim,mit,2022-08-22 09:24:58,2026-03-18 12:48:20,2026-01-14 13:58:11,5162.0,,119.0,11.0,36.0,48.0,41.0,353.0,2025-04-16 10:16:26,5.5-v3.3,12235.0,489.0,10.0,"AirSim is a simulator for drones, cars and more, built on Unreal Engine. We expand it with new implementations and..",,,262.0,19,True,1.0,,,,,,,,,,,,,,,
55,Jiminy,duburcqa/jiminy,,ml,https://github.com/duburcqa/jiminy,https://github.com/duburcqa/jiminy,MIT,2019-10-04 08:33:59,2025-09-05 07:35:57,2025-05-01 09:16:25,638.0,,29.0,3.0,751.0,36.0,92.0,294.0,2025-02-09 14:27:31,1.8.12,,1525.0,100.0,Jiminy: a fast and portable Python/C++ simulator of poly-articulated robots with OpenAI Gym interface for..,10.0,10.0,9.0,19,True,3.0,jiminy-py,https://pypi.org/project/jiminy-py,1525.0,,,,,,,,,,,,
56,PyFlyt,jjshoots/PyFlyt,,aerial,https://github.com/jjshoots/PyFlyt,https://github.com/jjshoots/PyFlyt,MIT,2022-05-27 15:44:46,2026-04-06 16:18:50,2026-04-06 16:18:50,1084.0,1.0,43.0,5.0,36.0,14.0,48.0,233.0,2025-03-01 13:09:21,0.29.0,,1255.0,34.0,UAV Flight Simulator for Reinforcement Learning Research.,39.0,39.0,12.0,19,True,1.0,pyflyt,https://pypi.org/project/pyflyt,1255.0,,,,,,,,https://taijunjet.com/PyFlyt/index.html,,,,
